UF,Sigla,Pedido,Depósito,Título,Linguagem,Campo de Aplicação,Tipo Programa,Nome do Titular:,Nome do Autor,Nome do Procurador:,,
Ceará,UVA,BR 51 2018 051772 2,26/09/2018,SISTEMA DO RESTAURANTE UNIVERSITÁRIO,JAVA / PHP,IF-07,IA-02,UNIVERSIDADE ESTADUAL VALE DO ACARAÚ,BRUNO DE OLIVEIRA MACHADO / DEYVID SA CAMILO / GUSTAVO FONTELES MORAIS RODRIGUES / JORGE LUIS PIRES DE MORAES / JOSÉ SAMUEL MONTENEGRO SANTIAGO / JOYCE MONTE DE OLIVEIRA / LEONARDO JOSE MONTENEGRO SANTIAGO / LUIZ FELIPE NEVES GONÇALVES / MADSON AGUIAR RODRIGUES / PEDRO ROGER MAGALHAES VASCONCELOS,-,,
Ceará,UVA,BR 51 2018 001018 0,25/06/2018,Sistema de Gerenciamento de Laboratórios - Bluelabs,PHP,AD-02 / AD-08 / AD-09 / AD-10 / EC-06 / ED-04,"AP-01 , TC-01",UNIVERSIDADE ESTADUAL VALE DO ACARAÚ,RODRIGO MARANGUAPE SILVA DA CUNHA,-,, (Fernanda) - ok.
Ceará,URCA,BR 51 2022 001300 2,30/05/2022,SISPRAIA: Sistema Integrado para Gestão Ambiental Pública de Praias,JAVA SCRIPT,AD-02 /AD-02 F/ AD-04 / MA-01 / MA-02,AV-01,FUNDAÇÃO UNIVERSIDADE ESTADUAL DO CEARÁ - FUNECE / UNIVERSIDADE REGIONAL DO CARIRI - URCA,FRANCISCO EDMAR DE SOUSA SILVA PINHEIRO / FÁBIO PERDIGÃO VASCONCELOS / OTÁVIO AUGUSTO DE OLIVEIRA LIMA BARRA,-,,
Ceará,UECE,BR 51 2024 003584 2,30/09/2024,SP2Mic: Uma ferramenta para geração de código de microsserviços a partir de stored procedures,C# / OUTROS,IF-07,DS-01, FUNDAÇÃO UNIVERSIDADE ESTADUAL DO CEARÁ - FUNECE,INGRID GUEDES TELES COUTINHO / MARX HARON GOMES BARBOSA / PAULO HENRIQUE MENDES MAIA,-,,
Ceará,UECE,BR 51 2024 003130 8,27/08/2024,Bookstation - Sistema web de recomendação e gerenciamento de livros,PYTHON,IF-02 / IF-09,FA-01, FUNDAÇÃO UNIVERSIDADE ESTADUAL DO CEARÁ - FUNECE, ANDREI FREITAS COSTA NUNES DOS SANTOS / ISMAYLE DE SOUSA SANTOS,-,,
Ceará,UECE,BR 51 2024 003129 4,27/08/2024,FMC-MIL: Função para treinar uma rede neural para detecção de anomalias em vídeos de vigilância com múltiplas câmeras sobrepostas e com rótulos de vídeo,PYTHON,IN-02 /SV-01,"IA-01, TC-03", FUNDAÇÃO UNIVERSIDADE ESTADUAL DO CEARÁ - FUNECE, JOSÉ EVERARDO BESSA MAIA / SILAS SANTIAGO LOPES PEREIRA,-,,
Ceará,UECE,BR 51 2024 002945 1,14/08/2024,Informa Diabetes,OUTROS,ED-06 / SD-01,"DS-04, DS-06", FUNDAÇÃO UNIVERSIDADE ESTADUAL DO CEARÁ - FUNECE,  FLORÊNCIA GAMILEIRA NASCIMENTO / SHÉRIDA KARANINI PAZ DE OLIVEIRA,-,,
Ceará,UECE,BR 51 2024 002494 8,17/07/2024,Entrando na História: interagindo e escrevendo com personagens,C# / UNITY,CO-03/ ED-01/ ED-04,DS-04, FUNDAÇÃO UNIVERSIDADE ESTADUAL DO CEARÁ - FUNECE, DIOGO ROLIM SARAIVA DOS SANTOS / IVES MOREIRA GOMES / REGINA CLÁUDIA PINHEIRO,-,,
Ceará,UECE,BR 51 2024 002442 5,15/07/2024,Entrando na História: interagindo e escrevendo com personagens-Linux,C# / UNITY,CO-03/ ED-01/ ED-04,DS-04, FUNDAÇÃO UNIVERSIDADE ESTADUAL DO CEARÁ - FUNECE, DIOGO ROLIM SARAIVA DOS SANTOS / IVES MOREIRA GOMES / REGINA CLÁUDIA PINHEIRO,-,,
Ceará,UECE,BR 51 2024 002440 9,15/07/2024,App Entrando na História: interagindo e escrevendo com personagens,C# / UNITY,CO-03/ ED-01/ ED-04,DS-04, FUNDAÇÃO UNIVERSIDADE ESTADUAL DO CEARÁ - FUNECE, DIOGO ROLIM SARAIVA DOS SANTOS / IVES MOREIRA GOMES / REGINA CLÁUDIA PINHEIRO,-,,
