Sigla,Pedido,Depósito,Título,Linguagem,Campo de Aplicação,Tipo Programa,Nome do Titular:,Nome do Autor,Nome do Procurador:,,
UESPI ,BR 51 2022 000232 9,04/02/2022,AnestesiaFC,JAVA, SD-05 ( Assistencia médica), AP-01  (Aplicativos),UNIVERSIDADE ESTADUAL DO PIAUI / UNIVERSIDADE FEDERAL DO PIAUÍ,FRANCISCO DAS CHAGAS ALVES LIMA / JANILDO LOPES MAGALHAES / OLIMPIO PEREIRA DE SÁ NETO / RITA DE CÁSSIA CERQUEIRA VIANA / SERGIO BARROS DE SOUSA,-,,finalizado - JÚLIA
UESPI ,BR 51 2021 002923 2,1/12/2021,SEART - SOFTWARE EDUCACIONAL PARA PREENCHIMENTO DE ANOTAÇÃO DE RESPONSABILIDADE TÉCNICA, JAVA / JSF, CC-01 (Construção),"  AP-01 , GI-01 , GI-02 (Aplicativos - Gerenciador de informações - Gerenciador de banco de dados)", FUNDAÇÃO DA UNIVERSIDADE ESTADUAL DO PIAUÍ,ANTÔNIO RODRIGUES DOS SANTOS JÚNIOR / ARTEMÁRIA COÊLHO DE ANDRADE / CONSTANTINO AUGUTO DIAS NETO,-,,
UESPI ,BR 51 2021 002596 2,08/11/2021,SEART - SOFTWARE EDUCACIONAL PARA PREENCHIMENTO DE ANOTAÇÃO DE RESPONSABLIDADE TÉCNICA, JAVA / JSF, CC-01 (Construção),"  AP-01 , GI-01 , GI-02 (Aplicativos - Gerenciador de informações - Gerenciador de banco de dados)", FUNDAÇÃO DA UNIVERSIDADE ESTADUAL DO PIAUÍ,ANTÔNIO RODRIGUES DOS SANTOS JÚNIOR / ARTEMÁRIA COÊLHO DE ANDRADE / CONSTANTINO AUGUTO DIAS NETO,-,,até 2023
UESPI ,BR 51 2021 001568 1,12/07/2021,OBESERVA COVID BARREIRA SANITÁRIA,JAVA SCRIPT, IF-07 / SD-01 / SD-02 (Ciencias info. - Saúde - Adm Sanit),"  AP-01 , GI-01 , SO-05 , TC-01 , TI-03  (Aplicativos - Gerenciador de informações - Gerenciador de usuarios - Aplicações teécnico científicas - Transmissão de dados)",FUNDAÇÃO DA UNIVERSIDADE ESTADUAL DO PIAUÍ,DARIO BRITO CALÇADA / JOHN KEVID RODRIGUES CARDOZO / RENAN FIALHO DO NASCIMENTO,-,,
UESPI ,BR 51 2021 001567 3,12/07/2021,OBSERVA COVID BUSCA ATIVA,JAVA SCRIPT, IF-07 / SD-01 / SD-02 (Ciencias info. - Saúde - Adm Sanit),"  AP-01 , GI-01 , SO-05 , TC-01 , TI-03  (Aplicativos - Gerenciador de informações - Gerenciador de usuarios - Aplicações teécnico científicas - Transmissão de dados)",FUNDAÇÃO DA UNIVERSIDADE ESTADUAL DO PIAUÍ,DARIO BRITO CALÇADA / JOHN KEVID RODRIGUES CARDOZO / RENAN FIALHO DO NASCIMENTO,-,,
UESPI ,BR 51 2019 002316 1,16/10/2019,PREDICTED HLA THREE-DIMENSIONAL STRUCTURES DATABASE,RUBY, BL-07 / SD-09 (), GI-01 (Gerenciador de informaçõe),"FUNDAÇÃO INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PIAUÍ / FUNDAÇÃO UNIVERSIDADE ESTADUAL DO PIAUÍ / UNIVERSIDADE FEDERAL DO PIAUÍ",ADALBERTO SOCORRO DA SILVA / ANTONIO GILBERTO BORGES COELHO / ANTONIO VANILDO DE SOUSA LIMA / DEYLANE MENEZES TELES E OLIVEIRA / FRANCISCO DAS CHAGAS ALVES LIMA / JHONATAN MATHEUS SOUSA COSTA / LUIZ CLAUDIO DEMES DA MATA SOUSA / MÁRIO SÉRGIO COELHO MARROQUIM / RAFAEL MELO SANTOS DE SERPA BRANDÃO / RICARDO MARTINS RAMOS / SEMIRAMIS JAMIL HADAD DO MONTE,-,,
UFPI,BR 51 2023 004201 3,28/12/2023,Software Preditivo Fuzzy,DJANGO / OUTROS / PYTHON,SD-08 (Espec Med Especialidades Médicas),SM-01 Simul & Mod - Simulaçäo e Modelagem, UNIVERSIDADE FEDERAL DO PIAUÍ,DIEGO FERREIRA GOMES / EVERALDO ARAÚJO FERREIRA / JEFFERSON CRUZ DOS SANTOS LEITE / MARIA DO SOCORRO PIRES E CRUZ,,,
UFPI,BR 51 2023 003698 6,30/11/2023,Funcracionalbot Joystick,PYTHON,ED-01 Ensin Regl Ensino regular,AP-01 APLICATIVO - APLICATIVOS, UNIVERSIDADE FEDERAL DO PIAUÍ, CLEIDINALDO AGUIAR SOUZA,,,
UFPI,BR 51 2023 003696 0,30/11/2023,Circmatbot2 Joystick,PYTHON,ED-01 Ensin Regl Ensino regular,AP-01 APLICATIVO - APLICATIVOS, UNIVERSIDADE FEDERAL DO PIAUÍ, CLEIDINALDO AGUIAR SOUZA,,,
UFPI,BR 51 2023 003695 1,30/11/2023,Cubicbot Joystick,PYTHON,ED-01 Ensin Regl Ensino regular,AP-01 APLICATIVO - APLICATIVOS, UNIVERSIDADE FEDERAL DO PIAUÍ, CLEIDINALDO AGUIAR SOUZA,,,
